Stock,Landings,EstCatch,OFL,ACL
2008,NA,NA,NA,NA
2009,NA,NA,NA,NA
2010,NA,NA,NA,NA
2011,NA,NA,NA,NA
2012,NA,NA,NA,NA
2013,NA,NA,NA,NA
2014,NA,NA,NA,NA
2015,NA,NA,NA,NA
2016,NA,NA,NA,NA
2017,NA,NA,NA,NA
