Year,Index,logSE,lowerCI,upperCI
2001,0.0227,0.078,0.0194,0.0264
2002,0.0194,0.0771,0.0166,0.0225
2003,0.0205,0.0792,0.0175,0.0239
2004,0.0181,0.0907,0.0151,0.0215
2005,0.0146,0.0971,0.012,0.0176
2006,0.0213,0.0758,0.0183,0.0246
2007,0.0279,0.0751,0.024,0.0322
2008,0.0199,0.0731,0.0172,0.0229
2009,0.0146,0.0867,0.0123,0.0172
2010,0.0168,0.0873,0.0141,0.0199
2011,0.0196,0.0798,0.0167,0.0228
2012,0.0212,0.0863,0.0178,0.025
2013,0.0173,0.0817,0.0147,0.0202
2014,0.0132,0.1091,0.0106,0.0163
