Model,Binomial,Lognormal
~Year,20428.0,17741.0
~Year+Month,20062.3,17458.3
~Year+Month+BoatType,\textbf{20057.7},\textbf{17442.5}
~Year+Month+BoatType+BagLimits,20057.7,17450.5
~Year+Month+BoatType+BagLimits+DepthRestrict,20057.7,17452.5
